2013-12-16 20:42:47 startup archives install
2013-12-16 20:42:47 install base-files:armel <none> 7.1wheezy3
2013-12-16 20:42:47 status half-installed base-files:armel 7.1wheezy3
2013-12-16 20:42:47 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:47 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:47 install base-passwd:armel <none> 3.5.26
2013-12-16 20:42:47 status half-installed base-passwd:armel 3.5.26
2013-12-16 20:42:47 status unpacked base-passwd:armel 3.5.26
2013-12-16 20:42:48 status unpacked base-passwd:armel 3.5.26
2013-12-16 20:42:48 configure base-passwd:armel 3.5.26 3.5.26
2013-12-16 20:42:48 status unpacked base-passwd:armel 3.5.26
2013-12-16 20:42:48 status half-configured base-passwd:armel 3.5.26
2013-12-16 20:42:48 status installed base-passwd:armel 3.5.26
2013-12-16 20:42:48 configure base-files:armel 7.1wheezy3 7.1wheezy3
2013-12-16 20:42:48 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:48 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:48 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:48 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:48 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:48 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:48 status unpacked base-files:armel 7.1wheezy3
2013-12-16 20:42:48 status half-configured base-files:armel 7.1wheezy3
2013-12-16 20:42:52 status installed base-files:armel 7.1wheezy3
2013-12-16 20:42:53 startup archives install
2013-12-16 20:42:53 upgrade dpkg 1.16.12 1.16.12
2013-12-16 20:42:53 status half-configured dpkg 1.16.12
2013-12-16 20:42:53 status unpacked dpkg 1.16.12
2013-12-16 20:42:53 status half-installed dpkg 1.16.12
2013-12-16 20:42:55 status half-installed dpkg 1.16.12
2013-12-16 20:42:55 status unpacked dpkg 1.16.12
2013-12-16 20:42:55 status unpacked dpkg 1.16.12
2013-12-16 20:42:55 configure dpkg 1.16.12 1.16.12
2013-12-16 20:42:55 status unpacked dpkg 1.16.12
2013-12-16 20:42:55 status unpacked dpkg 1.16.12
2013-12-16 20:42:55 status unpacked dpkg 1.16.12
2013-12-16 20:42:55 status unpacked dpkg 1.16.12
2013-12-16 20:42:55 status unpacked dpkg 1.16.12
2013-12-16 20:42:55 status half-configured dpkg 1.16.12
